director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,imdb_score,comb
"genndy tartakovsky (director/screenplay[119]); michael mccullers (screenplay); adam sandler, andy samberg, selena gomez, kevin james, david spade, steve buscemi, keegan-michael key, molly shannon, fran drescher, kathryn hahn, jim gaffigan, mel brooks",adam sandler,andy samberg,selena gomez,animation comedy family fantasy,hotel transylvania 3: summer vacation,,"adam sandler andy samberg selena gomez genndy tartakovsky (director/screenplay[119]); michael mccullers (screenplay); adam sandler, andy samberg, selena gomez, kevin james, david spade, steve buscemi, keegan-michael key, molly shannon, fran drescher, kathryn hahn, jim gaffigan, mel brooks animation comedy family fantasy"
rawson marshall thurber,dwayne johnson,neve campbell,chin han,action thriller adventure,skyscraper,,dwayne johnson neve campbell chin han rawson marshall thurber action thriller adventure
bo burnham,elsie fisher,josh hamilton,emily robinson,comedy drama,eighth grade,,elsie fisher josh hamilton emily robinson bo burnham comedy drama
gus van sant,joaquin phoenix,jonah hill,rooney mara,comedy drama,"don't worry, he won't get far on foot",,joaquin phoenix jonah hill rooney mara gus van sant comedy drama
rob reiner,woody harrelson,james marsden,rob reiner,history drama thriller,shock and awe,,woody harrelson james marsden rob reiner rob reiner history drama thriller
ol parker,christine baranski,pierce brosnan,dominic cooper,comedy romance,mamma mia! here we go again,,christine baranski pierce brosnan dominic cooper ol parker comedy romance
antoine fuqua,denzel washington,pedro pascal,ashton sanders,action thriller crime,the equalizer 2,,denzel washington pedro pascal ashton sanders antoine fuqua action thriller crime
carlos lópez estrada,daveed diggs,rafael casal,janina gavankar,comedy crime drama,blindspotting,,daveed diggs rafael casal janina gavankar carlos lópez estrada comedy crime drama
stephen susco,colin woodell,rebecca rittenhouse,betty gabriel,horror thriller mystery,unfriended: dark web,,colin woodell rebecca rittenhouse betty gabriel stephen susco horror thriller mystery
christopher mcquarrie,tom cruise,henry cavill,ving rhames,action adventure,mission: impossible – fallout,,tom cruise henry cavill ving rhames christopher mcquarrie action adventure
peter rida michail,greg cipes,scott menville,khary payton,animation action comedy science fiction,teen titans go! to the movies,,greg cipes scott menville khary payton peter rida michail animation action comedy science fiction
elijah bynum,timothée chalamet,maika monroe,alex roe,drama crime,hot summer nights,,timothée chalamet maika monroe alex roe elijah bynum drama crime
marc turtletaub,kelly macdonald,irrfan khan,david denman,drama,puzzle,,kelly macdonald irrfan khan david denman marc turtletaub drama
ben young,michael peña,lizzy caplan,mike colter,action drama science fiction thriller,extinction,,michael peña lizzy caplan mike colter ben young action drama science fiction thriller
marc forster,ewan mcgregor,hayley atwell,jim cummings,adventure comedy family fantasy,christopher robin,,ewan mcgregor hayley atwell jim cummings marc forster adventure comedy family fantasy
jennifer yuh nelson,amandla stenberg,harris dickinson,mandy moore,action adventure drama,the darkest minds,,amandla stenberg harris dickinson mandy moore jennifer yuh nelson action adventure drama
susanna fogel,mila kunis,kate mckinnon,justin theroux,comedy action adventure,the spy who dumped me,,mila kunis kate mckinnon justin theroux susanna fogel comedy action adventure
desiree akhavan,chloë grace moretz,john gallagher jr.,sasha lane,drama,the miseducation of cameron post,,chloë grace moretz john gallagher jr. sasha lane desiree akhavan drama
ken marino,nina dobrev,vanessa hudgens,adam pally,romance comedy,dog days,,nina dobrev vanessa hudgens adam pally ken marino romance comedy
jon turteltaub,jason statham,li bingbing,rainn wilson,action science fiction horror,the meg,,jason statham li bingbing rainn wilson jon turteltaub action science fiction horror
spike lee,john david washington,adam driver,laura harrier,crime comedy drama,blackkklansman,,john david washington adam driver laura harrier spike lee crime comedy drama
sylvain white,julia goldani telles,joey king,jaz sinclair,horror mystery thriller,slender man,,julia goldani telles joey king jaz sinclair sylvain white horror mystery thriller
sebastian gutierrez,abbey lee,matthew beard,carla gugino,science fiction thriller horror mystery,elizabeth harvest,,abbey lee matthew beard carla gugino sebastian gutierrez science fiction thriller horror mystery
jon m. chu,constance wu,henry golding,gemma chan,comedy romance,crazy rich asians,,constance wu henry golding gemma chan jon m. chu comedy romance
peter berg,mark wahlberg,iko uwais,john malkovich,action thriller,mile 22,,mark wahlberg iko uwais john malkovich peter berg action thriller
björn runge,glenn close,jonathan pryce,christian slater,drama,the wife,,glenn close jonathan pryce christian slater björn runge drama
james cox,ansel elgort,taron egerton,emma roberts,drama,billionaire boys club,,ansel elgort taron egerton emma roberts james cox drama
jesse peretz,rose byrne,ethan hawke,chris o'dowd,comedy drama romance,"juliet, naked",,rose byrne ethan hawke chris o'dowd jesse peretz comedy drama romance
rodrigo cortés,annasophia robb,isabelle fuhrman,victoria moroles,horror mystery thriller fantasy drama,down a dark hall,,annasophia robb isabelle fuhrman victoria moroles rodrigo cortés horror mystery thriller fantasy drama
susan johnson,lana condor,noah centineo,janel parrish,comedy romance,to all the boys i've loved before,,lana condor noah centineo janel parrish susan johnson comedy romance
brian henson,melissa mccarthy,bill barretta,joel mchale,action comedy crime,the happytime murders,,melissa mccarthy bill barretta joel mchale brian henson action comedy crime
michael noer,charlie hunnam,rami malek,roland møller,crime drama,papillon,,charlie hunnam rami malek roland møller michael noer crime drama
oliver daly,alex neustaedter,becky g,alex macnicoll,science fiction action adventure family,a.x.l.,,alex neustaedter becky g alex macnicoll oliver daly science fiction action adventure family
chris weitz,oscar isaac,ben kingsley,mélanie laurent,drama history thriller,operation finale,,oscar isaac ben kingsley mélanie laurent chris weitz drama history thriller
"jonathan baker, josh baker",myles truitt,jack reynor,zoë kravitz,thriller drama,kin,,"myles truitt jack reynor zoë kravitz jonathan baker, josh baker thriller drama"
brian a. miller,bruce willis,frank grillo,johnathon schaech,action adventure thriller,reprisal,,bruce willis frank grillo johnathon schaech brian a. miller action adventure thriller
corin hardy,demián bichir,taissa farmiga,jonas bloquet,horror,the nun,,demián bichir taissa farmiga jonas bloquet corin hardy horror
pierre morel,jennifer garner,john ortiz,john gallagher jr.,action thriller,peppermint,,jennifer garner john ortiz john gallagher jr. pierre morel action thriller
shane black,boyd holbrook,trevante rhodes,jacob tremblay,science fiction action adventure,the predator,,boyd holbrook trevante rhodes jacob tremblay shane black science fiction action adventure
yann demange,matthew mcconaughey,richie merritt,bel powley,crime drama,white boy rick,,matthew mcconaughey richie merritt bel powley yann demange crime drama
paul feig,anna kendrick,blake lively,henry golding,crime thriller comedy,a simple favor,,anna kendrick blake lively henry golding paul feig crime thriller comedy
richard eyre,emma thompson,stanley tucci,fionn whitehead,drama,the children act,,emma thompson stanley tucci fionn whitehead richard eyre drama
craig william macneill,chloë sevigny,kristen stewart,jay huguley,crime drama thriller,lizzie,,chloë sevigny kristen stewart jay huguley craig william macneill crime drama thriller
harold cronk,samuel hunt,merritt patterson,vanessa bell calloway,drama,unbroken: path to redemption,,samuel hunt merritt patterson vanessa bell calloway harold cronk drama
stephen cognetti,vasile flutur,jillian geurts,joy shatz,horror mystery,hell house llc ii: the abaddon hotel,,vasile flutur jillian geurts joy shatz stephen cognetti horror mystery
eli roth,jack black,cate blanchett,owen vaccaro,fantasy family comedy,the house with a clock in its walls,,jack black cate blanchett owen vaccaro eli roth fantasy family comedy
dan fogelman,oscar isaac,olivia wilde,mandy patinkin,drama romance,life itself,,oscar isaac olivia wilde mandy patinkin dan fogelman drama romance
jacques audiard,john c. reilly,joaquin phoenix,jake gyllenhaal,western drama comedy,the sisters brothers,,john c. reilly joaquin phoenix jake gyllenhaal jacques audiard western drama comedy
sam levinson,odessa young,suki waterhouse,hari nef,thriller horror comedy,assassination nation,,odessa young suki waterhouse hari nef sam levinson thriller horror comedy
donald petrie,emma roberts,hayden christensen,alyssa milano,comedy romance,little italy,,emma roberts hayden christensen alyssa milano donald petrie comedy romance
wash westmoreland,keira knightley,dominic west,eleanor tomlinson,drama history romance,colette,,keira knightley dominic west eleanor tomlinson wash westmoreland drama history romance
lisa d'apolito,lisa d'apolito (director); gilda radner,amy poehler,melissa mccarthy,documentary,"love, gilda",,lisa d'apolito (director); gilda radner amy poehler melissa mccarthy lisa d'apolito documentary
karey kirkpatrick,channing tatum,james corden,zendaya,family animation adventure fantasy comedy,smallfoot,,channing tatum james corden zendaya karey kirkpatrick family animation adventure fantasy comedy
"malcolm d. lee (director[177]); kevin hart, harry ratchford, joey wells, matt kellard, nicholas stoller,[178] john hamburg (screenplay); kevin hart, tiffany haddish, rob riggle, romany malco",kevin hart,tiffany haddish,rob riggle,comedy,night school,,"kevin hart tiffany haddish rob riggle malcolm d. lee (director[177]); kevin hart, harry ratchford, joey wells, matt kellard, nicholas stoller,[178] john hamburg (screenplay); kevin hart, tiffany haddish, rob riggle, romany malco comedy"
david lowery,robert redford,casey affleck,danny glover,comedy crime drama,the old man & the gun,,robert redford casey affleck danny glover david lowery comedy crime drama
gregory plotkin,amy forsyth,reign edwards,bex taylor-klaus,horror thriller,hell fest,,amy forsyth reign edwards bex taylor-klaus gregory plotkin horror thriller
ruben fleischer,tom hardy,michelle williams,riz ahmed,science fiction action,venom,,tom hardy michelle williams riz ahmed ruben fleischer science fiction action
bradley cooper,bradley cooper,lady gaga,andrew dice clay,music drama romance,a star is born,,bradley cooper lady gaga andrew dice clay bradley cooper music drama romance
damien chazelle,ryan gosling,claire foy,jason clarke,history drama,first man,,ryan gosling claire foy jason clarke damien chazelle history drama
drew goddard,jeff bridges,cynthia erivo,dakota johnson,thriller mystery crime drama,bad times at the el royale,,jeff bridges cynthia erivo dakota johnson drew goddard thriller mystery crime drama
ari sandel,wendi mclendon-covey,madison iseman,jeremy ray taylor,comedy fantasy horror,goosebumps 2: haunted halloween,,wendi mclendon-covey madison iseman jeremy ray taylor ari sandel comedy fantasy horror
felix van groeningen,steve carell,timothée chalamet,maura tierney,drama,beautiful boy,,steve carell timothée chalamet maura tierney felix van groeningen drama
ike barinholtz,ike barinholtz,tiffany haddish,nora dunn,comedy thriller,the oath,,ike barinholtz tiffany haddish nora dunn ike barinholtz comedy thriller
nick searcy,earl billings,dean cain,sarah jane morris,drama crime,gosnell: the trial of america's biggest serial killer,,earl billings dean cain sarah jane morris nick searcy drama crime
"hannah marks, joey power (directors/screenplay), jeremy allen white, maika monroe, deron horton, sasha lane, dean winters, joe keery, gina gershon, marisa tomei",hannah marks,joey power (directors/screenplay),jeremy allen white,romance drama,after everything,,"hannah marks joey power (directors/screenplay) jeremy allen white hannah marks, joey power (directors/screenplay), jeremy allen white, maika monroe, deron horton, sasha lane, dean winters, joe keery, gina gershon, marisa tomei romance drama"
david gordon green,jamie lee curtis,judy greer,andi matichak,horror thriller,halloween,,jamie lee curtis judy greer andi matichak david gordon green horror thriller
george tillman jr.,amandla stenberg,regina hall,russell hornsby,crime drama,the hate u give,,amandla stenberg regina hall russell hornsby george tillman jr. crime drama
jonah hill,sunny suljic,lucas hedges,na-kel smith,drama comedy,mid90s,,sunny suljic lucas hedges na-kel smith jonah hill drama comedy
paul dano,carey mulligan,jake gyllenhaal,ed oxenbould,drama,wildlife,,carey mulligan jake gyllenhaal ed oxenbould paul dano drama
elizabeth chomko,hilary swank,michael shannon,robert forster,drama,what they had,,hilary swank michael shannon robert forster elizabeth chomko drama
sacha gervasi,peter dinklage,jamie dornan,andy garcía,drama tv movie,my dinner with hervé,,peter dinklage jamie dornan andy garcía sacha gervasi drama tv movie
donovan marsh,gerard butler,gary oldman,common,action adventure thriller,hunter killer,,gerard butler gary oldman common donovan marsh action adventure thriller
david kerr,rowan atkinson,ben miller,olga kurylenko,action adventure comedy,johnny english strikes again,,rowan atkinson ben miller olga kurylenko david kerr action adventure comedy
luca guadagnino,dakota johnson,tilda swinton,mia goth,horror,suspiria,,dakota johnson tilda swinton mia goth luca guadagnino horror
david g. evans,sarah drew,justin bruening,eddie kaulukukui,drama war,indivisible,,sarah drew justin bruening eddie kaulukukui david g. evans drama war
david mccracken,mike c. nelson,jenni melear,david mccracken,action drama thriller,bullitt county,,mike c. nelson jenni melear david mccracken david mccracken action drama thriller
bryan singer[a],rami malek,lucy boynton,gwilym lee,music drama,bohemian rhapsody,,rami malek lucy boynton gwilym lee bryan singer[a] music drama
"lasse hallström, joe johnston",keira knightley,mackenzie foy,eugenio derbez,fantasy adventure family,the nutcracker and the four realms,,"keira knightley mackenzie foy eugenio derbez lasse hallström, joe johnston fantasy adventure family"
tyler perry,tiffany haddish,tika sumpter,omari hardwick,drama comedy,nobody's fool,,tiffany haddish tika sumpter omari hardwick tyler perry drama comedy
joel edgerton,lucas hedges,nicole kidman,joel edgerton,drama,boy erased,,lucas hedges nicole kidman joel edgerton joel edgerton drama
orson welles,john huston,oja kodar,peter bogdanovich,drama,the other side of the wind,,john huston oja kodar peter bogdanovich orson welles drama
matthew heineman,rosamund pike,jamie dornan,tom hollander,drama war,a private war,,rosamund pike jamie dornan tom hollander matthew heineman drama war
"zeek earl, chris caldwell",pedro pascal,sophie thatcher,jay duplass,science fiction,prospect,,"pedro pascal sophie thatcher jay duplass zeek earl, chris caldwell science fiction"
joseph kahn,calum worthy,jackie long,rory uphold,drama comedy music,bodied,,calum worthy jackie long rory uphold joseph kahn drama comedy music
jason reitman,hugh jackman,vera farmiga,j. k. simmons,drama history,the front runner,,hugh jackman vera farmiga j. k. simmons jason reitman drama history
"scott mosier, yarrow cheney",benedict cumberbatch,rashida jones,kenan thompson,animation family comedy fantasy,the grinch,,"benedict cumberbatch rashida jones kenan thompson scott mosier, yarrow cheney animation family comedy fantasy"
fede álvarez,claire foy,sverrir gudnason,lakeith stanfield,action crime thriller,the girl in the spider's web,,claire foy sverrir gudnason lakeith stanfield fede álvarez action crime thriller
julius avery,jovan adepo,wyatt russell,mathilde ollivier,horror war science fiction,overlord,,jovan adepo wyatt russell mathilde ollivier julius avery horror war science fiction
"coen brothers (directors/screenplay); tyne daly, james franco, brendan gleeson, bill heck, grainger hines, zoe kazan, harry melling, liam neeson, tim blake nelson, jonjo o'neill, chelcie ross, saul rubinek, tom waits",tyne daly,james franco,brendan gleeson,western comedy drama,the ballad of buster scruggs,,"tyne daly james franco brendan gleeson coen brothers (directors/screenplay); tyne daly, james franco, brendan gleeson, bill heck, grainger hines, zoe kazan, harry melling, liam neeson, tim blake nelson, jonjo o'neill, chelcie ross, saul rubinek, tom waits western comedy drama"
"daniel fabelo, matt hullum (directors/screenplay); burnie burns (screenplay); burnie burns, gavin free, michael jones, colton dunn, nichole sakura, allie deberry",burnie burns,gavin free,michael jones,science fiction action adventure comedy,lazer team 2,,"burnie burns gavin free michael jones daniel fabelo, matt hullum (directors/screenplay); burnie burns (screenplay); burnie burns, gavin free, michael jones, colton dunn, nichole sakura, allie deberry science fiction action adventure comedy"
david yates,eddie redmayne,katherine waterston,dan fogler,fantasy adventure,fantastic beasts: the crimes of grindelwald,,eddie redmayne katherine waterston dan fogler david yates fantasy adventure
steve mcqueen,viola davis,michelle rodriguez,elizabeth debicki,crime thriller,widows,,viola davis michelle rodriguez elizabeth debicki steve mcqueen crime thriller
peter farrelly,viggo mortensen,mahershala ali,linda cardellini,drama history,green book,,viggo mortensen mahershala ali linda cardellini peter farrelly drama history
sean anders,mark wahlberg,rose byrne,isabela merced,comedy drama,instant family,,mark wahlberg rose byrne isabela merced sean anders comedy drama
rich moore,rich moore (director); phil johnston (director/screenplay[220]); pamela ribon (screenplay[220]); john c. reilly,sarah silverman,gal gadot,family animation comedy adventure,ralph breaks the internet,,rich moore (director); phil johnston (director/screenplay[220]); pamela ribon (screenplay[220]); john c. reilly sarah silverman gal gadot rich moore family animation comedy adventure
steven caple jr.,michael b. jordan,sylvester stallone,tessa thompson,drama action,creed ii,,michael b. jordan sylvester stallone tessa thompson steven caple jr. drama action
otto bathurst,taron egerton,jamie foxx,ben mendelsohn,animation family adventure,robin hood,,taron egerton jamie foxx ben mendelsohn otto bathurst animation family adventure
alfonso cuarón,yalitza aparicio,marina de tavira,jorge antonio guerrero,drama,roma,,yalitza aparicio marina de tavira jorge antonio guerrero alfonso cuarón drama
yorgos lanthimos,olivia colman,emma stone,rachel weisz,drama comedy thriller history,the favourite,,olivia colman emma stone rachel weisz yorgos lanthimos drama comedy thriller history
andy serkis,christian bale,cate blanchett,benedict cumberbatch,adventure drama,mowgli: legend of the jungle,,christian bale cate blanchett benedict cumberbatch andy serkis adventure drama
diederik van rooijen,shay mitchell,grey damon,kirby johnson,horror drama,the possession of hannah grace,,shay mitchell grey damon kirby johnson diederik van rooijen horror drama
johan bodell,christopher lee page,caitlin crommett,erik kammerland,comedy tv movie,the cabin,,christopher lee page caitlin crommett erik kammerland johan bodell comedy tv movie
josie rourke,saoirse ronan,margot robbie,jack lowden,drama history,mary queen of scots,,saoirse ronan margot robbie jack lowden josie rourke drama history
peter hedges,julia roberts,lucas hedges,courtney b. vance,drama,ben is back,,julia roberts lucas hedges courtney b. vance peter hedges drama
"bob persichetti, peter ramsey, rodney rothman",shameik moore,jake johnson,hailee steinfeld,animation action adventure science fiction,spider-man: into the spider-verse,,"shameik moore jake johnson hailee steinfeld bob persichetti, peter ramsey, rodney rothman animation action adventure science fiction"
christian rivers,hera hilmar,robert sheehan,hugo weaving,adventure science fiction,mortal engines,,hera hilmar robert sheehan hugo weaving christian rivers adventure science fiction
clint eastwood,clint eastwood,bradley cooper,laurence fishburne,crime drama,the mule,,clint eastwood bradley cooper laurence fishburne clint eastwood crime drama
barry jenkins,kiki layne,stephan james,colman domingo,romance drama,if beale street could talk,,kiki layne stephan james colman domingo barry jenkins romance drama
rob marshall,emily blunt,lin-manuel miranda,ben whishaw,fantasy family comedy,mary poppins returns,,emily blunt lin-manuel miranda ben whishaw rob marshall fantasy family comedy
james wan,jason momoa,amber heard,willem dafoe,action adventure tv movie,aquaman,,jason momoa amber heard willem dafoe james wan action adventure tv movie
travis knight,hailee steinfeld,john cena,jorge lendeborg jr.,action adventure science fiction,bumblebee,,hailee steinfeld john cena jorge lendeborg jr. travis knight action adventure science fiction
robert zemeckis,steve carell,leslie mann,diane kruger,drama comedy,welcome to marwen,,steve carell leslie mann diane kruger robert zemeckis drama comedy
peter segal,jennifer lopez,leah remini,vanessa hudgens,romance comedy,second act,,jennifer lopez leah remini vanessa hudgens peter segal romance comedy
etan cohen,will ferrell,john c. reilly,rebecca hall,comedy mystery crime,holmes & watson,,will ferrell john c. reilly rebecca hall etan cohen comedy mystery crime
adam mckay,christian bale,amy adams,steve carell,comedy drama,vice,,christian bale amy adams steve carell adam mckay comedy drama
mimi leder,felicity jones,armie hammer,justin theroux,drama history,on the basis of sex,,felicity jones armie hammer justin theroux mimi leder drama history
karyn kusama,nicole kidman,sebastian stan,toby kebbell,horror thriller,destroyer,,nicole kidman sebastian stan toby kebbell karyn kusama horror thriller
